gender;age;person;became_member_on;income;total_amount;total_rewarded;transactions_num;offers_received;offers_viewed;offers_completed;bogo_received;bogo_viewed;bogo_completed;discount_received;discount_viewed;discount_completed;informational_received;informational_viewed;total_bogo;total_discount;avg_order_size;avg_reward_size;avg_bogo_size;avg_discount_size;offers_rr;offers_cvr;bogo_rr;bogo_cvr;discount_rr;discount_cvr;informational_rr
F;54.0;57dd18ec5ddc46828afb81ec5977bef2;2017;80000.0;249.4;10.0;9;6.0;4.0;1.0;3.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;10.0;0.0;27.71;10.0;10.0;0.0;66.67;25.0;66.67;50.0;100.0;0.0;50.0
M;39.0;be8a5d1981a2458d90b255ddc7e0d174;2014;51000.0;51.91000000000001;0.0;14;5.0;3.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;3.71;0.0;0.0;0.0;60.0;0.0;100.0;0.0;0.0;0.0;50.0
F;41.0;3f89b8f80ebc4f94b7074f28071aa8d4;2015;41000.0;62.51;3.0;18;4.0;2.0;1.0;2.0;1.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;3.0;3.47;3.0;0.0;3.0;50.0;50.0;50.0;0.0;50.0;100.0;0.0
F;79.0;a3b9b4bf115e4564933ea2e4bc936843;2015;48000.0;152.0;10.0;15;4.0;2.0;1.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;10.0;0.0;10.13;10.0;10.0;0.0;50.0;50.0;100.0;50.0;0.0;0.0;0.0
F;66.0;7584948ea6d04f94b8798624706261c2;2018;38000.0;56.08;5.0;5;4.0;4.0;1.0;3.0;3.0;1.0;0.0;0.0;0.0;1.0;1.0;5.0;0.0;11.22;5.0;5.0;0.0;100.0;25.0;100.0;33.33;0.0;0.0;100.0
F;56.0;e9844d5beac04bf8b8d3ad18f7e37fca;2017;52000.0;87.10999999999999;0.0;7;3.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;12.44;0.0;0.0;0.0;33.33;0.0;0.0;0.0;33.33;0.0;0.0
F;39.0;f247806381704ea58c1b06f60602a6ae;2014;56000.0;150.23000000000002;8.0;13;5.0;3.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;5.0;3.0;11.56;4.0;5.0;3.0;60.0;66.67;50.0;100.0;50.0;100.0;100.0
;;81ac76e4f2fe4a6bb5ebdc0f19cecc56;2017;;20.98;10.0;7;2.0;2.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;3.0;5.0;5.0;0.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0
M;42.0;9fa9ae8f57894cc9a3b8a9bbe0fc1b2f;2016;96000.0;320.48;18.0;12;4.0;4.0;3.0;1.0;1.0;1.0;3.0;3.0;2.0;0.0;0.0;10.0;8.0;26.71;6.0;10.0;4.0;100.0;75.0;100.0;100.0;100.0;66.67;0.0
;;020d3a52b9ce432ea5f98fc58e9bfcc4;2017;;16.930000000000003;0.0;6;3.0;3.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;2.82;0.0;0.0;0.0;100.0;0.0;0.0;0.0;100.0;0.0;100.0
;;4be1127413db496d8103c783ae72058b;2015;;20.630000000000003;0.0;8;5.0;3.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;2.58;0.0;0.0;0.0;60.0;0.0;66.67;0.0;0.0;0.0;50.0
F;78.0;fe8264108d5b4f198453bbb1fa7ca6c9;2016;93000.0;225.54999999999998;22.0;8;5.0;5.0;4.0;3.0;3.0;2.0;2.0;2.0;2.0;0.0;0.0;15.0;7.0;28.19;5.5;7.5;3.5;100.0;80.0;100.0;66.67;100.0;100.0;0.0
M;45.0;186d6403f5824c739555b732f4af3f16;2017;48000.0;17.0;0.0;6;4.0;2.0;0.0;1.0;1.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;2.83;0.0;0.0;0.0;50.0;0.0;100.0;0.0;50.0;0.0;0.0
M;29.0;8a87fda1a6644337b4394a4c3cd0946c;2016;50000.0;38.169999999999995;0.0;12;4.0;2.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;3.18;0.0;0.0;0.0;50.0;0.0;0.0;0.0;33.33;0.0;100.0
M;44.0;b7a66e629b134079a9bc7120c7b9947b;2017;35000.0;150.23;8.0;18;4.0;4.0;2.0;1.0;1.0;1.0;3.0;3.0;1.0;0.0;0.0;5.0;3.0;8.35;4.0;5.0;3.0;100.0;50.0;100.0;100.0;100.0;33.33;0.0
M;63.0;ca82e1ebc759402c8ab95c341755bdf1;2018;56000.0;121.61999999999999;14.0;9;3.0;3.0;3.0;1.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;10.0;4.0;13.51;4.67;10.0;2.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
M;36.0;54890f68699049c2a04d415abc25e717;2017;56000.0;118.85000000000001;3.0;7;3.0;2.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;1.0;0.0;3.0;16.98;3.0;0.0;3.0;66.67;50.0;0.0;0.0;50.0;100.0;100.0
F;76.0;ab66a363907e43e9a7cd535f1578245b;2018;47000.0;22.65;3.0;6;5.0;3.0;1.0;2.0;2.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;3.0;3.78;3.0;0.0;3.0;60.0;33.33;100.0;0.0;50.0;100.0;0.0
M;68.0;d3f146b615514c6380b168bb3df5f05b;2017;87000.0;177.18;15.0;8;5.0;5.0;4.0;3.0;3.0;2.0;2.0;2.0;2.0;0.0;0.0;10.0;5.0;22.15;3.75;5.0;2.5;100.0;80.0;100.0;66.67;100.0;100.0;0.0
M;75.0;a5a6ef2b78a04ddc9f374dd7c7f60bff;2015;52000.0;135.54000000000002;2.0;11;3.0;3.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2.0;12.32;2.0;0.0;2.0;100.0;33.33;100.0;0.0;100.0;100.0;100.0
M;67.0;2e87ba0fba1a4d1a8614af771f07a94d;2017;76000.0;200.77999999999997;10.0;12;5.0;5.0;3.0;1.0;1.0;1.0;3.0;3.0;2.0;1.0;1.0;5.0;5.0;16.73;3.33;5.0;2.5;100.0;60.0;100.0;100.0;100.0;66.67;100.0
M;77.0;d8af520c4a8a4c77b921098d7d838c4d;2016;51000.0;23.810000000000002;0.0;11;5.0;4.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;2.16;0.0;0.0;0.0;80.0;0.0;100.0;0.0;0.0;0.0;100.0
M;76.0;39dbcf43e24d41f4bbf0f134157e0e1e;2014;64000.0;110.92;2.0;8;3.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2.0;13.86;2.0;0.0;2.0;66.67;50.0;0.0;0.0;100.0;100.0;100.0
M;57.0;b62e66ca4dcf4df39fd522e750a88d81;2018;98000.0;27.24;0.0;1;3.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;27.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F;53.0;8c7df0c393db488aac3e58b06a7ea5f9;2016;72000.0;167.88;13.0;9;6.0;4.0;2.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;1.0;10.0;3.0;18.65;6.5;10.0;3.0;66.67;50.0;100.0;50.0;33.33;100.0;100.0
F;53.0;3a1242dda16248728e350c4bdeb21972;2016;117000.0;303.20000000000005;15.0;10;5.0;4.0;2.0;4.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;15.0;0.0;30.32;7.5;7.5;0.0;80.0;50.0;100.0;50.0;0.0;0.0;0.0
F;53.0;8045834137dc47faa24f2c4547969f33;2017;55000.0;20.18;2.0;8;5.0;3.0;1.0;2.0;2.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0;2.0;2.52;2.0;0.0;2.0;60.0;33.33;100.0;0.0;33.33;100.0;0.0
F;61.0;fb98ebe9e3e14afaa5b5db182b00b7ec;2017;112000.0;67.25;3.0;2;5.0;5.0;1.0;0.0;0.0;0.0;4.0;4.0;1.0;1.0;1.0;0.0;3.0;33.62;3.0;0.0;3.0;100.0;20.0;0.0;0.0;100.0;25.0;100.0
F;67.0;5cd6577aca5d4b419e452f9f505ffce7;2016;77000.0;155.73000000000002;0.0;8;3.0;3.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;19.47;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;0.0;100.0
F;58.0;99e9a1916821461ebd5d5048dc2dff7d;2018;85000.0;290.41999999999996;12.0;15;4.0;4.0;3.0;1.0;1.0;1.0;3.0;3.0;2.0;0.0;0.0;5.0;7.0;19.36;4.0;5.0;3.5;100.0;75.0;100.0;100.0;100.0;66.67;0.0
F;46.0;e528ceb341964128aaf58a59733ec2af;2018;36000.0;17.130000000000003;0.0;5;5.0;3.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;2.0;0.0;0.0;0.0;3.43;0.0;0.0;0.0;60.0;0.0;0.0;0.0;100.0;0.0;0.0
M;30.0;faf74115a43b4f718f4d4c0de116ee8a;2017;41000.0;11.95;0.0;4;2.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.99;0.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;0.0;100.0
M;59.0;0b73997a269247088b2a63355f53ee58;2017;89000.0;45.400000000000006;0.0;2;6.0;3.0;0.0;2.0;1.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;22.7;0.0;0.0;0.0;50.0;0.0;50.0;0.0;66.67;0.0;0.0
;;9d8d6bb2fc544a9c802888971ee3e8b1;2017;;23.160000000000004;0.0;9;5.0;3.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;2.0;1.0;0.0;0.0;2.57;0.0;0.0;0.0;60.0;0.0;0.0;0.0;66.67;0.0;50.0
M;51.0;f44b44b53c0548d5b27c812fda4c358a;2015;41000.0;75.96000000000001;9.0;20;6.0;3.0;3.0;2.0;1.0;1.0;4.0;2.0;2.0;0.0;0.0;5.0;4.0;3.8;3.0;5.0;2.0;50.0;100.0;50.0;100.0;50.0;100.0;0.0
M;27.0;6e04a90a0e074496b5f229eb1f553433;2018;35000.0;29.560000000000002;2.0;12;5.0;4.0;1.0;1.0;1.0;0.0;2.0;1.0;1.0;2.0;2.0;0.0;2.0;2.46;2.0;0.0;2.0;80.0;25.0;100.0;0.0;50.0;100.0;100.0
M;40.0;262ad0fb526a4d53b572007da60cce24;2018;53000.0;8.17;0.0;5;4.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.63;0.0;0.0;0.0;75.0;0.0;100.0;0.0;0.0;0.0;50.0
;;a89752cdfdf24779aa22faa2bc24e7c2;2015;;32.08;5.0;13;5.0;5.0;2.0;2.0;2.0;0.0;3.0;3.0;2.0;0.0;0.0;0.0;5.0;2.47;2.5;0.0;2.5;100.0;40.0;100.0;0.0;100.0;66.67;0.0
F;73.0;a2b7a0b3487a4d779ddf4e11a034e2ee;2018;91000.0;109.16000000000001;3.0;4;5.0;4.0;1.0;2.0;2.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;3.0;27.29;3.0;0.0;3.0;80.0;25.0;100.0;0.0;100.0;50.0;0.0
F;74.0;2c5c63e5124e417b8504f76c868a4190;2015;107000.0;298.3;9.0;10;5.0;4.0;4.0;0.0;0.0;0.0;4.0;4.0;4.0;1.0;0.0;0.0;9.0;29.83;2.25;0.0;2.25;80.0;100.0;0.0;0.0;100.0;100.0;0.0
M;42.0;9d6da0a2ac54474e8ec986fd21cecef0;2015;66000.0;136.94;3.0;7;3.0;2.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;1.0;0.0;3.0;19.56;3.0;0.0;3.0;66.67;50.0;0.0;0.0;50.0;100.0;100.0
M;78.0;571b739ada3041fb8fbd20f23ce034f7;2015;58000.0;126.93999999999998;30.0;10;6.0;6.0;3.0;3.0;3.0;3.0;0.0;0.0;0.0;3.0;3.0;30.0;0.0;12.69;10.0;10.0;0.0;100.0;50.0;100.0;100.0;0.0;0.0;100.0
F;54.0;816afd4505d047cf893275fbfe825590;2016;53000.0;57.03;2.0;18;6.0;5.0;1.0;4.0;3.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;3.17;2.0;0.0;2.0;83.33;20.0;75.0;0.0;100.0;50.0;0.0
F;70.0;13b7b2eccf664a329d83d2a238a9a11d;2018;74000.0;0.0;0.0;0;3.0;3.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;0.0;0.0
F;49.0;68eee228713c429ebe1300155ad1fb33;2017;57000.0;184.78000000000003;13.0;10;5.0;5.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;10.0;3.0;18.48;6.5;10.0;3.0;100.0;40.0;100.0;50.0;100.0;100.0;100.0
F;62.0;ffc6c9fbe34b4578911dcdf6745b4c74;2018;57000.0;0.0;0.0;0;3.0;2.0;0.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.67;0.0;100.0;0.0;50.0;0.0;0.0
M;64.0;cbebad9819494b479dbf0c1207b4c0c5;2017;70000.0;140.34;20.0;9;4.0;4.0;4.0;1.0;1.0;1.0;3.0;3.0;3.0;0.0;0.0;10.0;10.0;15.59;5.0;10.0;3.33;100.0;100.0;100.0;100.0;100.0;100.0;0.0
F;89.0;4264b1d027cc493281bba4f44bfedaca;2017;87000.0;248.62999999999997;2.0;9;4.0;3.0;1.0;0.0;0.0;0.0;4.0;3.0;1.0;0.0;0.0;0.0;2.0;27.63;2.0;0.0;2.0;75.0;33.33;0.0;0.0;75.0;33.33;0.0
